"X1","X2","X3","X4","X5","X6","X8","Y1","Y1_Type","Y1_ctype"
10,1,3.57142857142857,1,"7","2","0",15.55,1,"Low"
10,1,3.57142857142857,1,"7","3","0",15.55,1,"Low"
10,1,3.57142857142857,1,"7","4","0",15.55,1,"Low"
10,1,3.57142857142857,1,"7","5","0",15.55,1,"Low"
8,2.5,4.85714285714286,2,"7","2","0",20.84,3,"Low"
8,2.5,4.85714285714286,2,"7","3","0",21.46,3,"Low"
8,2.5,4.85714285714286,2,"7","4","0",20.71,3,"Low"
8,2.5,4.85714285714286,2,"7","5","0",19.68,1,"Low"
7,3.25,3.57142857142857,4,"7","2","0",19.5,1,"Low"
7,3.25,3.57142857142857,4,"7","3","0",19.95,1,"Low"
7,3.25,3.57142857142857,4,"7","4","0",19.34,1,"Low"
7,3.25,3.57142857142857,4,"7","5","0",18.31,1,"Low"
6,4,4.85714285714286,4,"7","2","0",17.05,1,"Low"
6,4,4.85714285714286,4,"7","3","0",17.41,1,"Low"
6,4,4.85714285714286,4,"7","4","0",16.95,1,"Low"
6,4,4.85714285714286,4,"7","5","0",15.98,1,"Low"
5.25,4.75,6.14285714285714,4,"7","2","0",28.52,3,"Low"
5.25,4.75,6.14285714285714,4,"7","3","0",29.9,3,"Low"
5.25,4.75,6.14285714285714,4,"7","4","0",29.63,3,"Low"
5.25,4.75,6.14285714285714,4,"7","5","0",28.75,3,"Low"
4.5,5.5,10,2,"7","2","0",24.77,3,"Low"
4.5,5.5,10,2,"7","3","0",23.93,3,"Low"
4.5,5.5,10,2,"7","4","0",24.77,3,"Low"
4.5,5.5,10,2,"7","5","0",23.93,3,"Low"
4,6.25,1,10,"3.5","2","0",6.07,1,"Low"
4,6.25,1,10,"3.5","3","0",6.05,1,"Low"
4,6.25,1,10,"3.5","4","0",6.01,1,"Low"
4,6.25,1,10,"3.5","5","0",6.04,1,"Low"
3.25,7,2.28571428571429,10,"3.5","2","0",6.37,1,"Low"
3.25,7,2.28571428571429,10,"3.5","3","0",6.4,1,"Low"
3.25,7,2.28571428571429,10,"3.5","4","0",6.37,1,"Low"
3.25,7,2.28571428571429,10,"3.5","5","0",6.4,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","2","0",6.85,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","3","0",6.79,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","4","0",6.77,1,"Low"
2.75,7.75,3.57142857142857,10,"3.5","5","0",6.81,1,"Low"
